,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Hoods,Business Corridor,Business Location,UniqueID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,Start_Year,Start_Date
58612,1314092-09-221,1138746,East West Cuisine,Hed,88 Hardie Pl,San Francisco,CA,94108,09/14/2022,,09/14/2022,,501 Taylor St Apt 510,San Francisco,94102,CA,7220-7229,Food Services,False,False,H26,"Restaurant Greater Than 2,000 Sqft",3.0,Financial District/South Beach,,POINT (-122.4038 37.79035),1314092-09-221-1138746-7220-7229-09-14-2022,19.0,6.0,3.0,8.0,19.0,2022,2022-09-14
58614,1315266-09-221,1038712,Sasala Dining Usa Inc,Hinodeya Ramen Union Square,219 Ofarrell St,San Francisco,CA,94102-2118,07/01/2016,,09/28/2022,,680 Clay St,San Francisco,94111,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",3.0,Tenderloin,,POINT (-122.40841 37.786335),1315266-09-221-1038712-7220-7229-09-28-2022,19.0,5.0,3.0,36.0,19.0,2022,2022-09-28
58615,1315286-09-221,1136946,Michael Bogdanov,Carolina Cold Brew Company,479 Ellis St,San Francisco,CA,94102-1927,07/13/2022,,09/29/2022,,595 22nd Ave Apt 11,San Francisco,94121,CA,7220-7229,Food Services,False,False,H74,Caterer,5.0,Tenderloin,,POINT (-122.414024 37.78467),1315286-09-221-1136946-7220-7229-09-29-2022,20.0,5.0,10.0,36.0,20.0,2022,2022-09-29
58629,1315482-10-221,1139329,Anthony D Adams,Mill Valley Pasta Co,1 Ferry Building,San Francisco,CA,94105,10/01/2022,,10/01/2022,,1752 Po Box,Mill Valley,94942,CA,7220-7229,Food Services,False,False,H34,Caterer Retail Food Vehicles,3.0,Financial District/South Beach,,POINT (-122.3938 37.79526),1315482-10-221-1139329-7220-7229-10-01-2022,108.0,6.0,3.0,8.0,108.0,2022,2022-10-01
58632,1315705-10-221,1011192,Samsara Inc,Samsara Inc.,1 De Haro St # D,San Francisco,CA,94107,03/02/2015,,07/11/2022,,350 Rhode Island St Fl 4,San Francisco,94103,CA,4400-4599,Retail Trade,False,False,H85,Employee Cafeterias W/o Food Prep,6.0,Mission Bay,,POINT (-122.40203 37.7698),1315705-10-221-1011192-4400-4599-07-11-2022,33.0,1.0,9.0,4.0,33.0,2022,2022-07-11
58634,1315841-10-221,1133497,Cosmi Bros Llc,Ciccino,1400 California St,San Francisco,CA,94109,03/23/2022,,03/23/2022,,2 Corte Los Sombras,Kentfield,94904,CA,,,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",3.0,Nob Hill,,POINT (-122.41751 37.79099),1315841-10-221-1133497--03-23-2022,16.0,6.0,3.0,21.0,16.0,2022,2022-03-23
58635,1315791-10-221,1139468,Fatted Calf Fb,Fatted Calf Fb,1 Ferry Plz Bldg 13,San Francisco,CA,94111,10/11/2022,,10/11/2022,,644 1st St Ste C,Napa,94559,CA,4400-4599,Retail Trade,False,False,H28,Take-Out Establishment,3.0,Financial District/South Beach,,POINT (-122.3921 37.795555),1315791-10-221-1139468-4400-4599-10-11-2022,108.0,6.0,3.0,8.0,108.0,2022,2022-10-11
58636,1315915-10-221,395927,Papalote Inc,Snackeria Mercado Sur,475 6th St Unit K27,San Francisco,CA,94103,01/01/2005,,10/12/2022,,4713 Mangels Blvd,Fairfield,94534,CA,7220-7229,Food Services,False,False,H07,Retail Food Market W/food Prep. Lt 5001 Sqft,6.0,South of Market,,POINT (-122.4026 37.776573),1315915-10-221-0395927-7220-7229-10-12-2022,32.0,1.0,10.0,34.0,32.0,2022,2022-10-12
58637,1316036-10-221,1106236,Peter Weiss,The Backflow Guy Inc,3145 Geary Blvd #404,San Francisco,CA,94118,04/01/2019,,04/01/2022,,3145 Geary Blvd #404,San Francisco,94118,CA,,,False,False,H59,Certified/cross Connection Tester,2.0,Lone Mountain/USF,,POINT (-122.45259 37.7817),1316036-10-221-1106236--04-01-2022,12.0,8.0,4.0,18.0,12.0,2022,2022-04-01
58639,1316287-10-221,334068,Complete Fabrications Inc,Complete Fabrications Inc,991 Palou Ave,San Francisco,CA,94124-3405,01/01/2000,,07/01/2022,,991 Palou Ave,San Francisco,94124,CA,2300-2399,Construction,False,False,D39,Hot Work Operations,10.0,Bayview Hunters Point,,POINT (-122.37951 37.727478),1316287-10-221-0334068-2300-2399-07-01-2022,78.0,2.0,9.0,1.0,78.0,2022,2022-07-01
58640,1316435-10-221,1099868,Mission Bay Wine & Cheese Llc,Mission Bay Wine Bar @ Thrive City,640 Terry A Francois Blvd,San Francisco,CA,94158,01/01/2019,,10/01/2022,,110 Channel St Ste B,San Francisco,94158,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",6.0,Mission Bay,,POINT (-122.38626 37.768196),1316435-10-221-1099868-7220-7229-10-01-2022,34.0,1.0,10.0,4.0,34.0,2022,2022-10-01
58641,1316706-10-221,1104578,Wafa Alameri,Royal Mocha,900 D Ave,San Francisco,CA,94103,07/23/2019,,10/10/2022,,1254 Eddy St,San Francisco,94115,CA,4200-4299,Wholesale Trade,False,False,H74,Caterer,6.0,South of Market,,POINT (-122.40874 37.772),1316706-10-221-1104578-4200-4299-10-10-2022,32.0,1.0,10.0,34.0,32.0,2022,2022-10-10
58642,1318628-11-221,1120290,Bella And Boonya Incorporated,Marnee Thai Restaurant,1243 9th Ave,San Francisco,CA,94122,01/01/2021,,01/01/2022,,1850 17th Ave,San Francisco,94122,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",7.0,Inner Sunset,,POINT (-122.46672 37.765133),1318628-11-221-1120290-7220-7229-01-01-2022,109.0,10.0,11.0,14.0,109.0,2022,2022-01-01
58995,1297339-02-221,1131987,Tacos And Tikkas,Tacos And Tikkas,601 Geary St,San Francisco,CA,94102,02/04/2022,02/03/2023,02/05/2022,02/03/2023,,,,,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",5.0,Tenderloin,,POINT (-122.41327 37.78669),1297339-02-221-1131987-7220-7229-02-05-2022,20.0,6.0,10.0,36.0,20.0,2022,2022-02-05
58999,1301934-04-221,46324,Compass Group Usa Inc,Capital One Cafe Managed By Eurest,101 Post St,San Francisco,CA,94108-4701,10/01/1968,,04/01/2022,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",3.0,Financial District/South Beach,,POINT (-122.40377 37.788853),1301934-04-221-0046324-7220-7229-04-01-2022,19.0,6.0,3.0,8.0,19.0,2022,2022-04-01
59159,1207886-12-181,438088,Okta Inc,Okta Inc,100 First St Ste 600,San Francisco,CA,94122,04/01/2009,,12/15/2018,,100 1st St 600 Ste,San Francisco,94105,CA,5100-5199,Information,False,False,D04,Places Of Public Assembly & Open-Air Assembly,6.0,Financial District/South Beach,,POINT (-122.3976 37.78948),1207886-12-181-0438088-5100-5199-12-15-2018,32.0,1.0,10.0,8.0,32.0,2018,2018-12-15
59161,1281364-07-211,1125845,Zen Massage & Bodywork,Zen Massage Sf,325 Bay St,San Francisco,CA,94133,07/01/2021,10/16/2022,07/01/2021,10/16/2022,,,,,4400-4599,Retail Trade,False,False,H67,Massage Establishment,3.0,North Beach,,POINT (-122.41241 37.80574),1281364-07-211-1125845-4400-4599-07-01-2021,106.0,6.0,3.0,23.0,106.0,2021,2021-07-01
59165,1315711-10-221,1109190,Daydream Cafe Llc,Diamond Coffee N Pastry,2575 Judah St,San Francisco,CA,94122-1437,12/05/2019,,10/01/2022,,1014 Clement St,San Francisco,94118,CA,7220-7229,Food Services,False,False,H24,,4.0,Sunset/Parkside,,POINT (-122.48953 37.76112),1315711-10-221-1109190-7220-7229-10-01-2022,39.0,10.0,7.0,35.0,39.0,2022,2022-10-01
59547,1309957-07-221,1137006,Calvi Bros Seafood,Calvi Bros Seafood,542 Po Box,Bodega Bay,CA,94923,07/15/2022,,07/15/2022,,542 Po Box,Bodega Bay,94923,CA,,,False,False,Wm18,Multiple,,,,POINT (-123.06419 38.35049),1309957-07-221-1137006--07-15-2022,,,,,,2022,2022-07-15
59717,1261256-10-201,443710,Nespresso Usa Inc,Nespresso Usa,55 Stockton St,San Francisco,CA,94108,09/14/2009,,10/01/2020,,111 W 33rd St Fl,New York,10120,NY,7220-7229,Food Services,False,False,H24 Pos01,Multiple,3.0,Financial District/South Beach,,POINT (-122.40633 37.786076),1261256-10-201-0443710-7220-7229-10-01-2020,19.0,6.0,3.0,8.0,19.0,2020,2020-10-01
59858,1298614-02-221,1132520,Four Guys Electronics Llc,Polk-N-Post Convenience Store,1101 Post St,San Francisco,CA,94109,02/24/2022,,02/24/2022,,1101 Post St,San Francisco,94109,CA,4400-4599,Retail Trade,False,False,H03,"Retail Mkts W/o Prep (Under 5,001)",3.0,Tenderloin,,POINT (-122.42004 37.786785),1298614-02-221-1132520-4400-4599-02-24-2022,50.0,4.0,3.0,36.0,50.0,2022,2022-02-24
59864,1261050-09-201,1117876,"Semilla, Llc",Semilla,103 Horne Ave,San Francisco,CA,94124,09/28/2020,,09/28/2020,,38 Plumas St,Brisbane,94005,CA,7220-7229,Food Services,False,False,D19 H74,Caterer,10.0,Bayview Hunters Point,,POINT (-122.36566 37.72665),1261050-09-201-1117876-7220-7229-09-28-2020,78.0,2.0,9.0,1.0,78.0,2020,2020-09-28
59889,1177750-02-181,1083069,Javier Fiaschi,Puppies & Paws,235 San Benito Rd,Brisbane,CA,94005,02/02/2018,,02/02/2018,04/01/2021,691 China Basin St Apt 242,San Francisco,94518,CA,,,False,False,C02,Commercial Dog Walker - Owner,,,,POINT (-122.400986 37.68049),1177750-02-181-1083069--02-02-2018,,,,,,2018,2018-02-02
60147,1225933-06-191,168329,Bon Appetit Management Co,Chase Club Bar,1 Warriors Way Event Lvl South,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H87,Bars/taverns W/food Prep,6.0,Mission Bay,,POINT (-122.386406 37.768967),1225933-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
60171,1225963-06-191,168329,Bon Appetit Management Co,Tony's Pizza North 300,1 Warriors Way Lvl 300 North,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1225963-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
60276,1273748-04-211,485263,Li Tony Wen,Tong De Health Center,4200 18th St Ste 103,San Francisco,CA,94114-2449,12/16/2013,,04/05/2021,,4200 18th St Ste 103,San Francisco,94114,CA,6100-6299,Private Education and Health Services,False,False,H68,General Massage Practitioner,8.0,Castro/Upper Market,,POINT (-122.43623 37.760845),1273748-04-211-0485263-6100-6299-04-05-2021,38.0,3.0,5.0,5.0,38.0,2021,2021-04-05
60502,1184163-04-181,425935,Colette Inc,Colette Macaron,149 Ankeny St,San Francisco,CA,94134,03/01/2008,,01/01/2018,,Po Box 347371,San Francisco,94134,CA,7220-7229,Food Services,False,False,H98,Cottage Food Kitchen - Tier A (Direct Sales),10.0,Visitacion Valley,,POINT (-122.40547 37.7196),1184163-04-181-0425935-7220-7229-01-01-2018,75.0,9.0,9.0,40.0,75.0,2018,2018-01-01
60854,1225926-06-191,168329,Bon Appetit Management Co,Players Kitchen,1 Warriors Way Event Lvl North East,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1225926-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
61074,1291824-11-211,372198,D O C Restaurant Group Llc,A16 At Ferry Building,1 Ferry Plz 17,San Francisco,CA,94111,11/24/2003,,11/17/2021,,2355 Chestnut St,San Francisco,94123,CA,7220-7229,Food Services,True,True,H07,Retail Food Market W/food Prep. Lt 5001 Sqft,3.0,Financial District/South Beach,,POINT (-122.3921 37.795555),1291824-11-211-0372198-7220-7229-11-17-2021,108.0,6.0,3.0,8.0,108.0,2021,2021-11-17
61247,1226004-06-191,168329,Bon Appetit Management Co,Hot Dog Bills North 300,1 Warriors Way Lvl 300 North,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226004-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
61453,1216816-03-191,447383,Elias-Wu Denise,Browistry,233 Grant Ave Fl 6,San Francisco,CA,94108,04/01/2010,,04/01/2019,,569 Seaver Dr,Mill Valley,94941,CA,,,False,False,J02,Body Art Practitioner,3.0,Financial District/South Beach,,POINT (-122.40536 37.789234),1216816-03-191-0447383--04-01-2019,19.0,6.0,3.0,8.0,19.0,2019,2019-04-01
61517,1267152-01-211,448217,Cityview Storage Llc,Cityview Commissary,900 Avenue D Is,San Francisco,CA,94130,01/29/2010,,01/12/2021,,85 Columbia Sq,San Francisco,94103,CA,4800-4999,Transportation and Warehousing,False,False,J08,,6.0,Treasure Island,,POINT (-122.37378 37.825867),1267152-01-211-0448217-4800-4999-01-12-2021,36.0,1.0,10.0,37.0,36.0,2021,2021-01-12
61577,1294659-01-221,1130872,Maher Lakhal,Cafe Gourmand,835 Geary St,San Francisco,CA,94109,01/06/2022,,01/06/2022,,835 Geary St,San Francisco,94109,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",5.0,Tenderloin,,POINT (-122.417046 37.786205),1294659-01-221-1130872-7220-7229-01-06-2022,20.0,6.0,10.0,36.0,20.0,2022,2022-01-06
61687,1203140-10-181,1025879,Deng Yu Yi,Yu Yi Deng,373 Ellis St 315,San Francisco,CA,94102,12/30/2004,,10/16/2018,01/20/2023,573 S 37th St,Richmond,94804,CA,,,False,False,H68,General Massage Practitioner,6.0,Tenderloin,,POINT (-122.412285 37.7849),1203140-10-181-1025879--10-16-2018,20.0,5.0,10.0,36.0,20.0,2018,2018-10-16
61740,1204132-10-181,464481,Lucky Strike San Francisco Llc,Lucky Strike San Francisco Llc,200 King St,San Francisco,CA,94107,11/11/2011,,09/24/2018,,16350 Ventura Blvd D815 Ste,Encino,94136,CA,7220-7229,Food Services,False,False,A45 D04 H26 P12 P23,Multiple,6.0,Mission Bay,,POINT (-122.39196 37.778133),1204132-10-181-0464481-7220-7229-09-24-2018,34.0,1.0,10.0,4.0,34.0,2018,2018-09-24
61875,1311791-08-221,1118293,Azikiwee  Anderson,Rize Up Bakery Llc,725 Greenwich St,San Francisco,CA,94133-2700,10/01/2020,,08/06/2022,,1160 Howard St,San Francisco,94103,CA,7220-7229,Food Services,False,False,H34,Caterer Retail Food Vehicles,3.0,North Beach,,POINT (-122.41181 37.801994),1311791-08-221-1118293-7220-7229-08-06-2022,106.0,6.0,3.0,23.0,106.0,2022,2022-08-06
61895,1317659-11-221,1140274,Village Tea House Inc,Village Tea House,62 2nd St,San Francisco,CA,94105,11/02/2022,,11/02/2022,,62 2nd St,San Francisco,94105,CA,7220-7229,Food Services,False,False,D04,,6.0,Financial District/South Beach,,POINT (-122.400635 37.7884),1317659-11-221-1140274-7220-7229-11-02-2022,108.0,6.0,10.0,8.0,108.0,2022,2022-11-02
61999,1322131-01-231,1142191,Christy Nha Nguyen,Christy Nha Nguyen,81 Langton St,San Francisco,CA,94103,11/22/2022,,11/22/2022,,5063 Bougainvillea Dr,San Jose,95111,CA,,,False,False,J02,,6.0,South of Market,,POINT (-122.40869 37.776604),1322131-01-231-1142191--11-22-2022,32.0,1.0,10.0,34.0,32.0,2022,2022-11-22
62082,1248550-03-201,469286,7682 Llc,Fig & Thistle,429 Gough St,San Francisco,CA,94102,05/22/2012,,03/09/2020,,313 Ivy St,San Francisco,94102,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",5.0,Hayes Valley,,POINT (-122.423065 37.777138),1248550-03-201-0469286-7220-7229-03-09-2020,22.0,4.0,11.0,9.0,22.0,2020,2020-03-09
62302,1303789-04-221,339377,Carboni Joseph M,Libreria Pino,1501 Grant Ave,San Francisco,CA,94133-3323,09/01/2000,,04/01/2022,,1501 Grant Ave,San Francisco,94133,CA,4400-4599,Retail Trade,False,False,P54,,3.0,North Beach,,POINT (-122.40764 37.800724),1303789-04-221-0339377-4400-4599-04-01-2022,106.0,6.0,3.0,23.0,106.0,2022,2022-04-01
62467,1226042-06-191,168329,Bon Appetit Management Co,Moet Hennessy Bar West 600,1 Warriors Way Lvl 600 West,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H87,Bars/taverns W/food Prep,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226042-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
62619,1274717-04-211,385922,"New Cingular Wireless Pcs, Llc",At&t Mobility,22 Battery St Ste 505,San Francisco,CA,94111-5518,01/01/2005,,04/01/2021,,1010 N Saint Marys St Fl 15,San Antonio,78215,TX,,,False,False,D27,Storage And Use Of Battery Systems,3.0,Financial District/South Beach,,POINT (-122.399574 37.791508),1274717-04-211-0385922--04-01-2021,108.0,6.0,3.0,8.0,108.0,2021,2021-04-01
62774,1274665-04-211,1018039,Danan Arielle,Beber,3861 24th St,San Francisco,CA,94114-3840,09/09/2015,,04/14/2021,,144 Meyers St Ste 140,Chico,95928,CA,4400-4599,Retail Trade,False,False,H34,Caterer Retail Food Vehicles,8.0,Noe Valley,,POINT (-122.42884 37.751595),1274665-04-211-1018039-4400-4599-04-14-2021,84.0,3.0,5.0,22.0,84.0,2021,2021-04-14
62908,1202052-10-181,372198,D O C Restaurant Group Llc,A16,1 Mobile Caterers,San Francisco,CA,,11/24/2003,,09/06/2018,,2355 Chestnut St,San Francisco,94123,CA,7220-7229,Food Services,False,False,D19,Storage & Use Of Flammable Or Combustible Liquids,,,,POINT (-122.22749 38.128742),1202052-10-181-0372198-7220-7229-09-06-2018,,,,,,2018,2018-09-06
62999,1218461-04-191,396191,Daystar Spa Llc,Enkhtuya Davaajav,900 Bush  419,San Francisco,CA,94109-6384,03/01/2006,,04/10/2019,,900 Bush St 419 Apt,San Francisco,94109,CA,6100-6299,Private Education and Health Services,False,False,H68 H69,Multiple,3.0,Nob Hill,,POINT (-122.41273 37.789894),1218461-04-191-0396191-6100-6299-04-10-2019,50.0,6.0,3.0,21.0,50.0,2019,2019-04-10
63004,1279648-06-211,441364,Dd Restaurant Group Inc,Lorenzo's Pizzeria,39 Pier  Ste M-20,San Francisco,CA,94133,08/01/2009,,06/01/2021,,2750 S Preston Rd # 116-314,Celina,75009,TX,7220-7229,Food Services,False,False,H26,"Restaurant Greater Than 2,000 Sqft",3.0,North Beach,,POINT (-122.41018 37.808777),1279648-06-211-0441364-7220-7229-06-01-2021,99.0,6.0,3.0,23.0,99.0,2021,2021-06-01
63084,1264141-11-201,1111611,Corazon Mexicano Inc,Corazon Mexicano,428 11th St,San Francisco,CA,94103,02/10/2020,,11/17/2020,08/01/2022,329 29th St,Richmond,94804,CA,7220-7229,Food Services,False,False,H79,Mobile Food Facility 5,6.0,Mission,,POINT (-122.412025 37.770237),1264141-11-201-1111611-7220-7229-11-17-2020,32.0,1.0,10.0,20.0,32.0,2020,2020-11-17
63088,1230023-08-191,1105095,Chinatown Sros Llc,937 Clay,937 Clay Ave,San Francisco,CA,94108,07/10/2018,,07/10/2018,,615 Grant Ave Fl 2,San Francisco,94108,CA,5300-5399,Real Estate and Rental and Leasing Services,False,False,Hhh,,3.0,Chinatown,,POINT (-122.408455 37.793964),1230023-08-191-1105095-5300-5399-07-10-2018,16.0,6.0,3.0,6.0,16.0,2018,2018-07-10
63192,1197221-08-181,483152,Lee Aruna,Volcano Kimchi,244 Clement St,San Francisco,CA,94118,05/20/2014,,08/06/2018,03/23/2022,2558 29th Ave,San Francisco,94116,CA,7220-7229,Food Services,False,False,H34,Caterer Retail Food Vehicles,1.0,Inner Richmond,,POINT (-122.4617 37.783092),1197221-08-181-0483152-7220-7229-08-06-2018,5.0,8.0,4.0,11.0,5.0,2018,2018-08-06
63201,1220642-05-191,441551,Venga Inc,Venga Empanadas,425 Mission St (Sales Force Transit Ctr  #123,San Francisco,CA,94105,01/19/2009,,05/02/2019,,3680 17th St Apt 4,San Francisco,94114,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",6.0,Financial District/South Beach,,POINT (-122.3972 37.79004),1220642-05-191-0441551-7220-7229-05-02-2019,32.0,1.0,10.0,8.0,32.0,2019,2019-05-02
63330,1284400-08-211,483152,Lee Aruna,Volcano Kimchi Llc,3251 20th Ave,San Francisco,CA,94132,05/20/2014,,08/13/2021,04/30/2022,2558 29th Ave,San Francisco,94116,CA,7220-7229,Food Services,False,False,H34,Caterer Retail Food Vehicles,7.0,Lakeshore,,POINT (-122.47604 37.729206),1284400-08-211-0483152-7220-7229-08-13-2021,41.0,10.0,8.0,16.0,41.0,2021,2021-08-13
63438,1182261-03-181,441729,Kssf Enterprises Ltd,W Hotel San Francisco-Green Room,181 Third Street,San Francisco,CA,94103,07/30/2009,,03/15/2018,,181 3rd St,San Francisco,94103,CA,7210-7219,Accommodations,False,False,H84,Employee Cafeterias W/food Prep,6.0,Financial District/South Beach,,POINT (-122.40045 37.78546),1182261-03-181-0441729-7210-7219-03-15-2018,32.0,1.0,10.0,8.0,32.0,2018,2018-03-15
63481,1182263-03-181,441729,Kssf Enterprises Ltd,3rd Floor Banquet Kitchen - W San Francisco,181 Third Street,San Francisco,CA,94103,07/30/2009,,03/15/2018,,181 3rd St,San Francisco,94103,CA,7210-7219,Accommodations,False,False,H26,"Restaurant Greater Than 2,000 Sqft",6.0,Financial District/South Beach,,POINT (-122.40045 37.78546),1182263-03-181-0441729-7210-7219-03-15-2018,32.0,1.0,10.0,8.0,32.0,2018,2018-03-15
63482,1182262-03-181,441729,Kssf Enterprises Ltd,Living Room Bar - W San Francisco,181 Third Street,San Francisco,CA,94103,07/30/2009,,03/15/2018,,181 3rd St,San Francisco,94103,CA,7210-7219,Accommodations,False,False,H87,Bars/taverns W/food Prep,6.0,Financial District/South Beach,,POINT (-122.40045 37.78546),1182262-03-181-0441729-7210-7219-03-15-2018,32.0,1.0,10.0,8.0,32.0,2018,2018-03-15
63488,1222527-05-191,386112,Bank Of America Na,"Bank Of America, National Association",555 California St,San Francisco,CA,94111,07/01/1998,,01/01/2019,,0000 Undeliverable Mail,San Francisco,99999,CA,5210-5239,Financial Services,False,False,D04,Places Of Public Assembly & Open-Air Assembly,3.0,Financial District/South Beach,Chinatown,POINT (-122.40349 37.792263),1222527-05-191-0386112-5210-5239-01-01-2019,108.0,6.0,3.0,8.0,108.0,2019,2019-01-01
63751,1226675-07-191,1019827,Rockledge Hotel Properties Inc,Grand Hyatt - Coffee Bar,345 Stockton St,San Francisco,CA,94108,12/22/1998,,03/29/2018,,0000 Undeliverable Mail,San Francisco,99999,CA,7210-7219 7220-7229,Multiple,False,False,H24,"Restaurant Less Than 1,000 Sqft",3.0,Financial District/South Beach,,POINT (-122.406876 37.788868),1226675-07-191-1019827-7210-7219 7220-7229-03-29-2018,19.0,6.0,3.0,8.0,19.0,2018,2018-03-29
63764,1226674-07-191,1019827,Rockledge Hotel Properties Inc,One Up Bar And Espresso Bar,345 Stockton St,San Francisco,CA,94108,12/22/1998,,03/29/2018,,0000 Undeliverable Mail,San Francisco,99999,CA,7210-7219 7220-7229,Multiple,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",3.0,Financial District/South Beach,,POINT (-122.406876 37.788868),1226674-07-191-1019827-7210-7219 7220-7229-03-29-2018,19.0,6.0,3.0,8.0,19.0,2018,2018-03-29
63905,1239125-11-191,1084635,Cole Ashbury Group Llc,Berner's On Haight,1685 Haight St,San Francisco,CA,94117,03/07/2018,,11/21/2019,,530 Divisadero St 226 Ste,San Francisco,94117,CA,4400-4599,Retail Trade,False,False,Crp,,5.0,Haight Ashbury,,POINT (-122.45044 37.769535),1239125-11-191-1084635-4400-4599-11-21-2019,25.0,7.0,11.0,3.0,25.0,2019,2019-11-21
63907,1189090-05-181,1085975,The Flore Store,The Flore Store,258 Noe St,San Francisco,CA,94114,02/08/2018,,05/21/2018,,258 Noe St,San Francisco,94114,CA,4400-4599,Retail Trade,False,False,Crp,,8.0,Castro/Upper Market,,POINT (-122.433205 37.76497),1189090-05-181-1085975-4400-4599-05-21-2018,28.0,7.0,5.0,5.0,28.0,2018,2018-05-21
63908,1187161-05-181,1087276,"Kmbm, Inc",Authentic 415,165 Mississippi St,San Francisco,CA,94107,05/05/2018,,05/05/2018,,728 E Commercial St,Los Angeles,90012,CA,4400-4599,Retail Trade,False,False,Crp,,10.0,Potrero Hill,,POINT (-122.39472 37.76444),1187161-05-181-1087276-4400-4599-05-05-2018,54.0,1.0,9.0,26.0,54.0,2018,2018-05-05
63945,1253689-06-201,1087916,Infinity Wellness Tlc Inc,Golden Gate Cannabis Company,500 Jones St,San Francisco,CA,94102,05/19/2018,,05/19/2018,,260 King St Unit 1605,San Francisco,94107,CA,,,False,False,Crp,,5.0,Tenderloin,,POINT (-122.41296 37.78588),1253689-06-201-1087916--05-19-2018,20.0,5.0,10.0,36.0,20.0,2018,2018-05-19
63970,1260346-09-201,1088046,United 415 Inc,Stiiizy Union Square,180 O'farrell St,San Francisco,CA,94102,05/21/2018,,05/21/2018,,728 E Commercial St,Los Angeles,90012,CA,4400-4599,Retail Trade,False,False,Crp,,3.0,Financial District/South Beach,,POINT (-122.40767 37.786484),1260346-09-201-1088046-4400-4599-05-21-2018,19.0,6.0,3.0,8.0,19.0,2018,2018-05-21
63983,1228073-07-191,1091367,"Izzy's Cheesesteaks Food Truck, Llc","Izzy's Cheesesteaks Food Truck, Llc",1 Mobile Caterers,San Francisco,CA,,08/10/2018,12/31/2021,03/25/2019,12/31/2021,,,,,7220-7229,Food Services,False,False,D19,Storage & Use Of Flammable Or Combustible Liquids,,,,POINT (-122.22749 38.128742),1228073-07-191-1091367-7220-7229-03-25-2019,,,,,,2019,2019-03-25
63985,1226971-07-191,1091367,"Izzy's Cheesesteaks Food Truck, Llc","Izzy's Cheesesteaks Food Truck, Llc",2 Marina Blvd Bldg C,San Francisco,CA,94123,08/10/2018,12/31/2021,07/01/2019,12/31/2021,,,,,7220-7229,Food Services,False,False,H79,Mobile Food Facility 5,2.0,Marina,,POINT (-122.43221 37.80523),1226971-07-191-1091367-7220-7229-07-01-2019,17.0,4.0,6.0,13.0,17.0,2019,2019-07-01
64031,1205864-11-181,1095140,Eylul Llc,Quicky Burgers,4092 18th St,San Francisco,CA,94114,11/19/2018,09/07/2022,11/19/2018,09/07/2022,,,,,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",8.0,Castro/Upper Market,,POINT (-122.434784 37.76093),1205864-11-181-1095140-7220-7229-11-19-2018,38.0,3.0,5.0,5.0,38.0,2018,2018-11-19
